start_year,buy_day,years,dca_cagr,dca_final,dca_maxdd,drop_pct,hyb_cagr,hyb_final,hyb_maxdd,hyb_events,diff_cagr,winner
2005,10,20.758384668035593,0.06361149561281376,899315.9457945362,0.3913640484750532,0.2,0.06029627478200439,842885.0397914988,0.3572951216184515,3,-0.0033152208308093734,DCA
2005,10,20.758384668035593,0.06361149561281376,899315.9457945362,0.3913640484750532,0.25,0.06122347322121935,858318.5090546921,0.366999538632551,3,-0.002388022391594413,DCA
2005,10,20.758384668035593,0.06361149561281376,899315.9457945362,0.3913640484750532,0.3,0.06229573637346708,876502.006710181,0.30914224238401994,2,-0.001315759239346681,DCA
2005,15,20.758384668035593,0.0636059523595951,899218.6564709181,0.38724336061517595,0.05,0.06123184045475116,858459.0008314477,0.33620598461920165,21,-0.002374111904843934,DCA
2005,15,20.758384668035593,0.0636059523595951,899218.6564709181,0.38724336061517595,0.1,0.059963375499827665,837408.5660943196,0.3347744401471999,7,-0.0036425768597674324,DCA
2005,15,20.758384668035593,0.0636059523595951,899218.6564709181,0.38724336061517595,0.15,0.05923366045178158,825522.3845990284,0.33795786760323215,5,-0.004372291907813519,DCA
2005,15,20.758384668035593,0.0636059523595951,899218.6564709181,0.38724336061517595,0.2,0.06023850105450679,841932.1749777172,0.3536691043229997,3,-0.0033674513050883093,DCA
2005,15,20.758384668035593,0.0636059523595951,899218.6564709181,0.38724336061517595,0.25,0.061189957362641545,857755.9734215395,0.3655469482165857,3,-0.002415994996953552,DCA
2005,15,20.758384668035593,0.0636059523595951,899218.6564709181,0.38724336061517595,0.3,0.06228249084517512,876275.1681822399,0.3076714492224694,2,-0.0013234615144199768,DCA
2005,20,20.758384668035593,0.06363000010154307,899640.7895806702,0.37912030124627866,0.05,0.06123099374504948,858444.782980567,0.334416640223556,21,-0.0023990063564935937,DCA
2005,20,20.758384668035593,0.06363000010154307,899640.7895806702,0.37912030124627866,0.1,0.05996675150794473,837463.9338911405,0.3329315516498292,7,-0.003663248593598345,DCA
2005,20,20.758384668035593,0.06363000010154307,899640.7895806702,0.37912030124627866,0.15,0.05919690517991261,824927.9536631838,0.3316407354238084,5,-0.004433094921630465,DCA
2005,20,20.758384668035593,0.06363000010154307,899640.7895806702,0.37912030124627866,0.2,0.06024176050518948,841985.9059495366,0.3531970060900511,3,-0.0033882395963535927,DCA
2005,20,20.758384668035593,0.06363000010154307,899640.7895806702,0.37912030124627866,0.25,0.06113294540703196,856799.8815502482,0.3451579167144576,3,-0.002497054694511114,DCA
2005,20,20.758384668035593,0.06363000010154307,899640.7895806702,0.37912030124627866,0.3,0.06228481411764775,876314.9517353086,0.3018481452626425,2,-0.001345185983895325,DCA
2005,25,20.758384668035593,0.06353329960562792,897944.457826108,0.3886881157798006,0.05,0.06112979168293431,856747.0231396718,0.33693197497550365,21,-0.002403507922693615,DCA
2005,25,20.758384668035593,0.06353329960562792,897944.457826108,0.3886881157798006,0.1,0.05986911589157207,835864.0791919463,0.335387836142688,7,-0.0036641837140558575,DCA
2005,25,20.758384668035593,0.06353329960562792,897944.457826108,0.3886881157798006,0.15,0.05912920467803939,823834.1218502888,0.34280622901648755,5,-0.004404094927588531,DCA
2005,25,20.758384668035593,0.06353329960562792,897944.457826108,0.3886881157798006,0.2,0.06018065885843571,840979.2080901656,0.3736757490195326,3,-0.003352640747192215,DCA
2005,25,20.758384668035593,0.06353329960562792,897944.457826108,0.3886881157798006,0.25,0.061072493360916136,855787.207334457,0.36234352028369754,3,-0.0024608062447117884,DCA
2005,25,20.758384668035593,0.06353329960562792,897944.457826108,0.3886881157798006,0.3,0.062174467181856485,874427.2757068187,0.3153113549566641,2,-0.0013588324237714389,DCA
2005,28,20.758384668035593,0.06348139070212366,897035.1218018311,0.3890820434532749,0.05,0.06109366695623253,856141.7712346859,0.33649789738580277,21,-0.002387723745891135,DCA
2005,28,20.758384668035593,0.06348139070212366,897035.1218018311,0.3890820434532749,0.1,0.05980791925499562,834862.7962412282,0.33498892143261516,7,-0.0036734714471280405,DCA
2005,28,20.758384668035593,0.06348139070212366,897035.1218018311,0.3890820434532749,0.15,0.0590956318621052,823292.200625314,0.3430257940630514,5,-0.004385758840018461,DCA
2005,28,20.758384668035593,0.06348139070212366,897035.1218018311,0.3890820434532749,0.2,0.06014749448677725,840433.2786661537,0.3740206749008018,3,-0.0033338962153464102,DCA
2005,28,20.758384668035593,0.06348139070212366,897035.1218018311,0.3890820434532749,0.25,0.06103966594828836,855237.7699447148,0.36267697689890727,3,-0.002441724753835306,DCA
2005,28,20.758384668035593,0.06348139070212366,897035.1218018311,0.3890820434532749,0.3,0.06214204224699538,873873.3270211507,0.3157113525635928,2,-0.0013393484551282864,DCA
2010,1,15.756331279945243,0.07139373001500982,563172.6423372396,0.336114002145507,0.05,0.0701329690871948,552820.8959062747,0.3347280077290634,21,-0.001260760927815019,DCA
2010,1,15.756331279945243,0.07139373001500982,563172.6423372396,0.336114002145507,0.1,0.06930529622288417,546122.2974153206,0.3323102759416936,8,-0.0020884337921256435,DCA
2010,1,15.756331279945243,0.07139373001500982,563172.6423372396,0.336114002145507,0.15,0.06930436060220879,546114.7683632522,0.3307866675473396,6,-0.002089369412801023,DCA
2010,1,15.756331279945243,0.07139373001500982,563172.6423372396,0.336114002145507,0.2,0.06622576057387386,521860.42864046106,0.2422787063727089,2,-0.005167969441135956,DCA
